label,levels,Sober,Impaired,Intoxicated,Multi-Drug,p,severity
ISS Region,Head & Neck,86730 (17.2),2701 (17.6),15850 (19.7),8416 (21.4),<0.001,All
,Chest,38994 (7.7),1526 (10.0),10579 (13.2),5146 (13.1),,All
,Abdominal & Pelvic,67903 (13.5),1873 (12.2),8080 (10.1),3817 (9.7),,All
,Extremities,21033 (4.2),665 (4.3),2833 (3.5),1544 (3.9),,All
,Face,66134 (13.1),2047 (13.4),8255 (10.3),4565 (11.6),,All
,External,223618 (44.3),6521 (42.5),34791 (43.3),15784 (40.2),,All
AISSEVERITY,Mean (SD),1.7 (0.8),1.7 (0.8),1.7 (0.9),1.7 (0.9),<0.001,All
ISS Region,Head & Neck,4348 (78.9),113 (80.7),809 (83.3),441 (83.7),0.002,Severe
,Chest,0 (0.0),0 (0.0),0 (0.0),0 (0.0),,Severe
,Abdominal & Pelvic,542 (9.8),9 (6.4),76 (7.8),39 (7.4),,Severe
,Extremities,504 (9.1),14 (10.0),66 (6.8),38 (7.2),,Severe
,Face,117 (2.1),4 (2.9),20 (2.1),8 (1.5),,Severe
,External,0 (0.0),0 (0.0),0 (0.0),1 (0.2),,Severe
AISSEVERITY,5,5380 (97.6),140 (100.0),960 (98.9),507 (96.2),0.002,Severe
,6,131 (2.4),0 (0.0),11 (1.1),20 (3.8),,Severe
